Initialization,Activation,Hidden Layers,Cost,Computation Time
uniform_zero_one,sigmoid,1,0.8782453779142968,0.5662088394165039
uniform_zero_one,sigmoid,2,0.6737322603952934,1.2800521850585938
uniform_zero_one,sigmoid,3,0.3697715152661657,1.9811139106750488
uniform_zero_one,tanh,1,0.5064178501442975,0.5919411182403564
uniform_zero_one,tanh,2,0.2625616089552413,1.4957408905029297
uniform_zero_one,tanh,3,0.18068941221859852,2.419787883758545
uniform_zero_one,tanh,1,0.5143510992813671,0.6189792156219482
uniform_zero_one,tanh,2,0.5197810048836268,1.4656128883361816
uniform_zero_one,tanh,3,0.21680882684612685,2.4164040088653564
uniform_zero_one,linear,1,0.8562921018776373,0.17598795890808105
uniform_zero_one,linear,2,0.8562922050929506,0.5144460201263428
uniform_zero_one,linear,3,0.8562979630075022,0.7918798923492432
uniform_zero_one,linear,1,0.8562921270582128,0.20175480842590332
uniform_zero_one,linear,2,0.8562919487300252,0.4997212886810303
uniform_zero_one,linear,3,0.8562928565194833,0.8058178424835205
uniform_zero_one,leaky_relu,1,0.5504097908647088,0.21590399742126465
uniform_zero_one,leaky_relu,2,0.5186532875418419,0.6581258773803711
uniform_zero_one,leaky_relu,3,0.6282221515259655,0.9699962139129639
uniform_zero_one,leaky_relu,1,0.5562169959775803,0.22575807571411133
uniform_zero_one,leaky_relu,2,0.5005466796466741,0.5875980854034424
uniform_zero_one,leaky_relu,3,0.7054810143725752,0.9568989276885986
